iter	Passed	Remaining
0	2	272
1	5	259
2	7	246
3	9	222
4	11	216
5	13	212
6	15	209
7	18	213
8	20	210
9	22	205
10	24	201
11	27	198
12	29	195
13	31	193
14	34	192
15	36	189
16	38	187
17	40	185
18	42	182
19	45	181
20	48	180
21	50	179
22	52	177
23	55	174
24	57	172
25	59	169
26	61	167
27	64	166
28	66	163
29	68	160
30	71	158
31	73	156
32	75	153
33	78	153
34	81	151
35	83	149
36	85	146
37	88	143
38	90	141
39	92	139
40	95	137
41	96	133
42	98	130
43	100	128
44	102	125
45	105	123
46	107	121
47	110	119
48	112	116
49	114	114
50	117	112
51	120	111
52	122	109
53	125	106
54	126	103
55	128	101
56	131	98
57	133	96
58	135	94
59	138	92
60	140	89
61	143	87
62	145	85
63	147	83
64	149	80
65	151	78
66	154	76
67	156	73
68	158	71
69	160	68
70	162	66
71	164	64
72	167	61
73	170	59
74	172	57
75	174	55
76	176	52
77	179	50
78	181	48
79	183	45
80	186	43
81	188	41
82	190	39
83	193	36
84	195	34
85	197	32
86	199	29
87	202	27
88	204	25
89	206	22
90	208	20
91	210	18
92	212	16
93	214	13
94	216	11
95	218	9
96	221	6
97	223	4
98	225	2
99	228	0
